01,0.5102,0.7464,0.0860,0.5965,0.6213,0.6215,0.6219,0.5782,0.5782,0.5782,0.5882,0.5882,0.5882,
02,0.8401,0.4490,0.2719,0.6790,0.7486,0.7490,0.7501,0.6751,0.6751,0.6751,0.6350,0.6350,0.6350,
03,0.1283,0.1882,0.7253,0.4662,0.4366,0.4365,0.4357,0.4784,0.4784,0.4784,0.5035,0.5035,0.5035,
04,0.2299,0.1524,0.7353,0.5012,0.4442,0.4442,0.4438,0.4977,0.4977,0.4977,0.5198,0.5198,0.5200,
05,0.3209,0.6229,0.5233,0.6810,0.7241,0.7246,0.7264,0.6543,0.6543,0.6543,0.6660,0.6660,0.6660,
06,0.8203,0.0682,0.4260,0.5643,0.5919,0.5919,0.5929,0.5329,0.5329,0.5329,0.5327,0.5327,0.5328,
07,0.3471,0.8889,0.1564,0.5875,0.5432,0.5433,0.5437,0.5806,0.5806,0.5806,0.6013,0.6012,0.6016,
08,0.5762,0.8292,0.4116,0.7853,0.8272,0.8276,0.8286,0.7781,0.7781,0.7781,0.7554,0.7554,0.7554,
09,0.9053,0.6245,0.5264,0.8506,0.8214,0.8217,0.8224,0.8799,0.8799,0.8799,0.8252,0.8252,0.8252,
10,0.8149,0.0396,0.6227,0.6165,0.5904,0.5904,0.5910,0.5908,0.5908,0.5908,0.6793,0.6793,0.6794,
11,0.1016,0.6382,0.3173,0.4957,0.4524,0.4528,0.4546,0.5020,0.5020,0.5020,0.5258,0.5258,0.5256,
12,0.9108,0.2139,0.4641,0.6625,0.6519,0.6521,0.6532,0.6182,0.6182,0.6182,0.5765,0.5765,0.5764,
13,0.2245,0.0971,0.6136,0.4402,0.3664,0.3666,0.3665,0.4324,0.4324,0.4324,0.4681,0.4681,0.4681,
14,0.6423,0.3229,0.8567,0.7663,0.7265,0.7263,0.7262,0.7669,0.7669,0.7669,0.7621,0.7621,0.7621,
15,0.5252,0.6529,0.5729,0.7893,0.8603,0.8606,0.8617,0.8237,0.8237,0.8237,0.7870,0.7870,0.7869,
