1,0.1701
2,0.1023
3,0.4405
4,0.3609
5,0.7192
6,0.2258
7,0.3175
8,0.0127
9,0.429
10,0.0544
11,0.8
12,0.045
13,0.4268
14,0.0112
15,0.3218
16,0.2185
17,0.724
18,0.3516
19,0.442
20,0.0984
21,0.1747
22,0.3964
23,0.5114
24,0.6183
25,0.333
26,0.2398
27,0.0508
28,0.4497
29,0.2178
30,0.7762
31,0.1078
32,0.3773
33,0.0001
34,0.3877
35,0.0821
36,0.7836
37,0.1887
38,0.4483
39,0.0424
40,0.2539
41,0.3164
42,0.6386
43,0.4862
44,0.4068
45,0.1611
46,0.1101
47,0.4372
48,0.3795
49,0.7092
50,0.24
51,0.3087
52,0.0159
53,0.433
54,0.0733
55,0.7995
56,0.0262
57,0.4223
58,0.0085
59,0.3303
60,0.2037
61,0.7332
62,0.3328
63,0.4445
64,0.0909
65,0.1838
66,0.3888
67,0.5277
68,0.6042
69,0.3435
70,0.2304
71,0.0568
72,0.45
73,0.2371
74,0.7705
75,0.1246
76,0.3701
77,0.0006
78,0.3943
79,0.0646
80,0.7878
81,0.1694
82,0.4468
83,0.0372
84,0.2632
85,0.3048
86,0.6516
87,0.469
88,0.4132
89,0.1523
90,0.1182
91,0.4334
92,0.3978
93,0.6987
94,0.2538
95,0.2998
96,0.0195
97,0.4366
98,0.0924
99,0.7984
100,0.0077
