0.2417,0.2857,0.2397,A
0.2268,0.2874,0.2153,A
0.1975,0.3315,0.1965,A
0.3414,0.3166,0.1074,A
0.2587,0.1918,0.2634,A
0.2455,0.2075,0.1344,A
0.3163,0.1679,0.1725,A
0.2704,0.2605,0.1411,A
0.1871,0.2965,0.1231,A
0.3474,0.2715,0.1958,A
0.2059,0.2928,0.2839,A
0.2442,0.2272,0.2384,A
0.2126,0.3437,0.1128,A
0.2562,0.2542,0.1599,A
0.164,0.2289,0.2627,A
0.2795,0.188,0.1627,A
0.3463,0.1513,0.2281,A
0.343,0.1508,0.1881,A
0.1981,0.2821,0.1294,A
0.2322,0.3025,0.2191,A
0.7352,0.2722,0.6962,B
0.7191,0.1825,0.747,B
0.6921,0.1537,0.8172,B
0.6833,0.2048,0.849,B
0.8012,0.2684,0.7673,B
0.786,0.1734,0.7198,B
0.7205,0.1542,0.7295,B
0.6549,0.3288,0.8153,B
0.6968,0.3173,0.7389,B
0.7448,0.2095,0.6847,B
0.6746,0.3277,0.6725,B
0.7897,0.2801,0.7679,B
0.8399,0.3067,0.7003,B
0.8065,0.3206,0.7205,B
0.8357,0.322,0.7879,B
0.7438,0.323,0.8384,B
0.8172,0.3319,0.7628,B
0.8248,0.2614,0.8405,B
0.6979,0.2142,0.7309,B
0.6804,0.3181,0.7017,B
0.6973,0.3194,0.7522,B
0.791,0.2239,0.7018,B
0.7052,0.2148,0.6866,B
0.8088,0.1908,0.7563,B
0.764,0.1676,0.6994,B
0.7616,0.2881,0.8087,B
0.8188,0.2461,0.7273,B
0.792,0.3178,0.7497,B
0.7802,0.1871,0.8102,B
0.7332,0.2543,0.8194,B
0.6921,0.1529,0.7759,B
0.6833,0.2197,0.6943,B
0.786,0.1745,0.7639,B
0.8009,0.3082,0.8491,B
0.7793,0.1935,0.6738,B
0.7373,0.2698,0.7864,B
0.7048,0.238,0.7825,B
0.8393,0.2857,0.7733,B
0.6878,0.2126,0.6961,B
0.6651,0.3492,0.6737,B
0.4856,0.66,0.4798,C
0.4114,0.722,0.5106,C
0.5671,0.7935,0.5929,C
0.4875,0.7928,0.5532,C
0.5172,0.7147,0.5774,C
0.5483,0.6773,0.4842,C
0.574,0.6682,0.5335,C
0.4587,0.6981,0.59,C
0.5794,0.741,0.4759,C
0.4712,0.6734,0.5677,C
0.5126,0.8141,0.5224,C
0.5557,0.7749,0.4342,C
0.4916,0.8267,0.4586,C
0.4629,0.8129,0.495,C
0.585,0.7358,0.5107,C
0.4435,0.703,0.4594,C
0.4155,0.7516,0.5524,C
0.4887,0.7027,0.5886,C
0.5462,0.7378,0.5107,C
0.5251,0.8124,0.5686,C
0.4635,0.7339,0.5638,C
0.5907,0.7144,0.4718,C
0.4982,0.8335,0.4597,C
0.5242,0.7325,0.4079,C
0.4075,0.8372,0.4271,C
0.5934,0.8284,0.5107,C
0.5463,0.6766,0.5639,C
0.4403,0.8495,0.4806,C
0.4531,0.776,0.5276,C
0.5109,0.7387,0.5373,C
0.5383,0.778,0.4955,C
0.5679,0.7156,0.5022,C
0.5762,0.7781,0.5908,C
0.5997,0.7504,0.5678,C
0.4138,0.6975,0.5148,C
0.549,0.6674,0.4472,C
0.4719,0.7527,0.4401,C
0.4458,0.8063,0.4253,C
0.4983,0.8131,0.5625,C
0.5742,0.6789,0.5997,C
0.5289,0.7354,0.4718,C
0.5927,0.7738,0.539,C
0.5199,0.7131,0.4028,C
0.5716,0.6558,0.4451,C
0.5075,0.7045,0.4233,C
0.4886,0.7004,0.4608,C
0.5527,0.8243,0.5772,C
0.4816,0.6969,0.4678,C
0.5809,0.6557,0.4266,C
0.5881,0.7565,0.4003,C
0.5334,0.8446,0.4934,C
0.4603,0.7992,0.4816,C
0.5491,0.6504,0.4063,C
0.4288,0.8455,0.5047,C
0.5636,0.7884,0.5417,C
0.5349,0.6736,0.4541,C
0.5569,0.8393,0.5652,C
0.4729,0.7702,0.5325,C
0.5472,0.8454,0.5449,C
0.5805,0.7349,0.4464,C
